sample_id,coastal_group,saved,completed,image_exists,mask_exists,image_shape,mask_shape,mask_width,mask_height,unique_values,invalid_value_count,land_fraction,water_fraction,ignore_fraction,valid_fraction,hard_pass,issues,warnings,annotation_image_path,manual_mask_path,original_image_path
nc:nc-0032-00-000032,nc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.20915603637695312,0.7905731201171875,0.000270843505859375,0.9997291564941406,True,,,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0032-00-000032.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0032-00-000032.png,data/external/dartis/raw/nc/nc-0032-00-000032.jpg
nc:nc-0272-03-000037,nc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.7537574768066406,0.24606704711914062,0.00017547607421875,0.9998245239257812,True,,,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0272-03-000037.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0272-03-000037.png,data/external/dartis/raw/nc/nc-0272-03-000037.jpg
nc:nc-0215-02-000055,nc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.010772705078125,0.9890708923339844,0.000156402587890625,0.9998435974121094,True,,,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0215-02-000055.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0215-02-000055.png,data/external/dartis/raw/nc/nc-0215-02-000055.jpg
nc:nc-0194-02-000034,nc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,6.4849853515625e-05,0.9999198913574219,1.52587890625e-05,0.9999847412109375,True,,very_little_land,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0194-02-000034.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0194-02-000034.png,data/external/dartis/raw/nc/nc-0194-02-000034.jpg
nc:nc-0266-03-000031,nc,True,True,True,True,512x512,512x512,512,512,0|255,0,0.05675506591796875,0.9432449340820312,0.0,1.0,True,,,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0266-03-000031.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0266-03-000031.png,data/external/dartis/raw/nc/nc-0266-03-000031.jpg
nc:nc-0127-01-000051,nc,True,True,True,True,512x512,512x512,512,512,0|255,0,0.05530548095703125,0.9446945190429688,0.0,1.0,True,,,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0127-01-000051.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0127-01-000051.png,data/external/dartis/raw/nc/nc-0127-01-000051.jpg
oc:oc-0189,oc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.04929351806640625,0.95050048828125,0.00020599365234375,0.9997940063476562,True,,,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0189.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0189.png,data/external/dartis/raw/oc/oc-0189.jpg
oc:oc-0219,oc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.03975677490234375,0.960235595703125,7.62939453125e-06,0.9999923706054688,True,,,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0219.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0219.png,data/external/dartis/raw/oc/oc-0219.jpg
oc:oc-0264,oc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.07132720947265625,0.9286537170410156,1.9073486328125e-05,0.9999809265136719,True,,,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0264.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0264.png,data/external/dartis/raw/oc/oc-0264.jpg
oc:oc-0296,oc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.18125534057617188,0.8186416625976562,0.000102996826171875,0.9998970031738281,True,,,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0296.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0296.png,data/external/dartis/raw/oc/oc-0296.jpg
oc:oc-0135,oc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.0535736083984375,0.9463729858398438,5.340576171875e-05,0.9999465942382812,True,,,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0135.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0135.png,data/external/dartis/raw/oc/oc-0135.jpg
oc:oc-0127,oc,True,True,True,True,512x512,512x512,512,512,0|255,0,0.1029510498046875,0.8970489501953125,0.0,1.0,True,,,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0127.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0127.png,data/external/dartis/raw/oc/oc-0127.jpg
oc:oc-0080,oc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.030941009521484375,0.9688835144042969,0.00017547607421875,0.9998245239257812,True,,,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0080.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0080.png,data/external/dartis/raw/oc/oc-0080.jpg
oc:oc-0108,oc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.014560699462890625,0.9849205017089844,0.000518798828125,0.999481201171875,True,,,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0108.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0108.png,data/external/dartis/raw/oc/oc-0108.jpg
oc:oc-0085,oc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.038524627685546875,0.9612960815429688,0.000179290771484375,0.9998207092285156,True,,,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0085.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0085.png,data/external/dartis/raw/oc/oc-0085.jpg
oc:oc-0373,oc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.06867599487304688,0.9312210083007812,0.000102996826171875,0.9998970031738281,True,,,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0373.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0373.png,data/external/dartis/raw/oc/oc-0373.jpg
oc:oc-0250,oc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.270721435546875,0.729095458984375,0.00018310546875,0.99981689453125,True,,,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0250.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0250.png,data/external/dartis/raw/oc/oc-0250.jpg
oc:oc-0194,oc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.8328781127929688,0.16666412353515625,0.000457763671875,0.999542236328125,True,,,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0194.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0194.png,data/external/dartis/raw/oc/oc-0194.jpg
oc:oc-0348,oc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.03331756591796875,0.9665374755859375,0.00014495849609375,0.9998550415039062,True,,,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0348.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0348.png,data/external/dartis/raw/oc/oc-0348.jpg
oc:oc-0333,oc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,8.7738037109375e-05,0.9999046325683594,7.62939453125e-06,0.9999923706054688,True,,very_little_land,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0333.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0333.png,data/external/dartis/raw/oc/oc-0333.jpg
oc:oc-0321,oc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.0146484375,0.9851913452148438,0.00016021728515625,0.9998397827148438,True,,,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0321.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0321.png,data/external/dartis/raw/oc/oc-0321.jpg
oc:oc-0088,oc,True,True,True,True,512x512,512x512,512,512,0|255,0,0.05039215087890625,0.9496078491210938,0.0,1.0,True,,,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0088.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0088.png,data/external/dartis/raw/oc/oc-0088.jpg
